Age,Asian,EuropeanorOther,Maori,PacificPeoples,Various,Total
0,64465,123090,85940,29310,0,302805
5,60380,142950,87600,32135,0,323065
10,50015,160990,93080,34815,0,338900
15,45210,160660,82180,31545,0,319595
20,60745,158000,75770,32625,0,327140
25,80155,181200,68790,30475,0,360620
30,97655,197090,65600,27880,0,388225
35,91980,183110,51230,21965,0,348285
40,71310,179110,46510,20500,0,317430
45,51855,198180,46420,19590,0,316045
50,44505,224830,47160,19735,0,336230
55,38735,223370,42400,17595,0,322100
60,32920,223940,36550,13330,0,306740
65,28715,196000,25710,10100,0,260525
70,19205,177560,17680,7160,0,221605
75,10870,135260,10010,4425,0,160565
80,7170,94600,5860,2585,0,110215
85,3665,50870,2580,1145,0,58260
90,1565,32030,1060,495,0,35150
Total,861120,3042840,892130,357410,0,5153500
