scenario,Simulation,totalInfections_1,totalInfections_2,totalInfections_3,totalInfections_4,totalInfections_5,totalInfections_6,totalInfections_7,totalInfections_8,totalInfections_9,totalInfections_10,totalInfections_11,totalInfections_12,totalInfections_13,totalInfections_14,totalInfections_15,totalInfections_16,totalFirstInfections_1,totalFirstInfections_2,totalFirstInfections_3,totalFirstInfections_4,totalFirstInfections_5,totalFirstInfections_6,totalFirstInfections_7,totalFirstInfections_8,totalFirstInfections_9,totalFirstInfections_10,totalFirstInfections_11,totalFirstInfections_12,totalFirstInfections_13,totalFirstInfections_14,totalFirstInfections_15,totalFirstInfections_16,totalAdmissions_1,totalAdmissions_2,totalAdmissions_3,totalAdmissions_4,totalAdmissions_5,totalAdmissions_6,totalAdmissions_7,totalAdmissions_8,totalAdmissions_9,totalAdmissions_10,totalAdmissions_11,totalAdmissions_12,totalAdmissions_13,totalAdmissions_14,totalAdmissions_15,totalAdmissions_16,totalDeaths_1,totalDeaths_2,totalDeaths_3,totalDeaths_4,totalDeaths_5,totalDeaths_6,totalDeaths_7,totalDeaths_8,totalDeaths_9,totalDeaths_10,totalDeaths_11,totalDeaths_12,totalDeaths_13,totalDeaths_14,totalDeaths_15,totalDeaths_16,peakOcc
1,1,367650.95850458,411658.546435397,452467.327155324,537357.239611294,518851.35776885,573828.2783408,598546.725326287,479433.593350349,440166.904308035,402956.676066171,397474.192458813,345186.768618745,255661.670140164,177716.589050242,124453.868598249,140743.878464044,287145.210020153,303040.84885297,324139.901839752,333403.476919166,327013.833829552,367299.208003997,391918.238046667,344353.113759574,319696.529266704,304418.357630707,309232.74245341,282893.808253277,225013.991183603,163419.710039061,117370.995847989,135808.897905569,3130.40798099464,504.634508057774,440.580446067858,775.780465535165,1025.96050600418,1181.3984487926,1307.56395689941,1201.57192239795,1185.57194747257,1346.78268133416,1607.74031252461,1960.07082654145,2214.05322424646,2500.25140709786,2911.85989427023,11664.3656636275,0.842627265790635,0.844035099153293,0.708683991648895,1.14133985608888,2.05507172572349,4.55375094744417,9.68143861992006,15.6004442788087,27.7048703649559,49.7275121648703,93.174612755726,158.46912392795,236.203587744487,288.313340047849,368.211520305915,2206.30059118894,1120.99828521023
1,2,347616.48589207,375952.301933793,398752.113990001,446305.181709472,433628.871778764,485798.378683803,511434.340062848,437785.812371518,400756.728052466,370125.345143586,368418.271579295,326375.46304533,248044.951273482,178759.293719634,127600.759936818,142823.912062841,290045.872419992,302841.337919883,318962.916903025,329164.921527479,324363.030914366,365367.279711603,389654.036361338,347348.090919074,320517.150224634,305443.951488533,311028.784522328,285804.281210679,228310.685347259,169213.180464274,122843.770968413,139680.71903345,2378.40788920575,377.314155037755,306.343981582651,479.633620317382,631.06467629736,737.219094193604,824.076394703488,797.378975159827,778.733986496274,887.052674311721,1066.90673939704,1332.02197505868,1559.83223238534,1838.59402690961,2176.61609145662,8635.70013082291,0.732948531443322,0.722775767914292,0.564343089080681,0.807468147778108,1.44719460779628,3.25467329857015,6.98974751205863,11.8646931641505,20.8586112186742,37.5347625664685,70.8828748867538,123.350501958004,190.121684441175,240.043124000486,309.376820512391,1823.93613300054,575.244109638945
1,3,337095.817818651,373773.103108676,406227.20266146,476942.477828022,463779.782259869,519107.201525366,544600.517319137,466291.359281962,427226.18610275,392849.150276384,389480.831025846,341245.141971685,253322.935037472,179936.180813178,127718.899114355,142047.736130981,276429.004816801,293758.481151959,314089.550027276,330362.886017676,324040.638146239,364780.785199644,388937.507661017,348049.073310119,321445.167461345,306530.073042738,312068.362883227,286526.35448725,227098.936868802,167390.294427504,121408.393664389,137857.743697647,2426.739975064,391.395662196328,333.149855997524,569.193526245697,753.313079803691,876.247392191267,974.431540731311,936.635614633549,918.600944209182,1046.47131642491,1254.49776628132,1547.45190461912,1763.96771412464,2040.06158455738,2405.62255609403,9486.58100952608,0.538748480709713,0.539931097695406,0.441944699942962,0.690219565855725,1.24399119329546,2.78515033881791,5.94985042324262,10.0311181629907,17.7064846222182,31.8630255811125,59.9097815001007,103.010013205537,154.597395675316,190.651250301337,245.202358398424,1442.70517035477,704.601110980959
1,4,407369.051962678,439869.040614021,469504.085605097,525385.84033795,509575.708652159,565863.402815393,593148.580171054,482936.073567278,442169.680861486,407093.162168919,402825.585656984,355749.795051493,272924.913818623,194865.09824532,138598.941792746,158979.62221641,311610.534182969,317081.902139383,332566.219549603,331895.703454943,328453.405725212,369434.463008048,394583.099858688,349756.273664558,324092.889734446,310346.081869471,316278.928045049,293322.633475864,240773.559779393,179410.480647349,130891.718632479,153601.340318203,2897.66302299583,454.71001373571,378.790957920234,608.781850774244,806.794825247974,933.557211614949,1038.72676289155,978.109913240183,960.321600542779,1096.92157726111,1313.68688171232,1633.75232189507,1922.82074893389,2241.37725274043,2652.8700880743,10792.972508062,0.617596696850379,0.602310053755726,0.482506293564308,0.709083062099335,1.27943228599531,2.848691083378,6.08770058028822,10.0506300185398,17.7547676978706,32.020023890605,60.0588571299964,104.026985256217,160.990281435912,197.304296575157,252.969964050412,1513.10115677647,858.768696506133
1,5,381669.527246863,410994.830551544,436619.246867267,488497.186660313,477251.438416444,535030.948413372,563147.805552858,486867.543645244,444709.915025722,411271.047122258,408297.03032819,363122.088286218,279170.927444934,204135.242858494,147695.760454712,167219.436353864,302649.896476079,310979.139098932,326497.864288319,331120.103646912,327164.184412947,368369.987958662,393341.346851366,354454.912716847,326678.257077541,313963.176813314,320747.868452965,299615.978185129,247169.303626959,188273.56326728,139602.52877892,161833.842271002,3016.14437327144,475.543293073447,390.640564381961,618.321646754744,821.878994912907,957.444868131062,1068.25870487645,1036.91176798089,1011.28413112571,1158.83623979161,1391.77727891972,1749.60778155367,2084.02464355026,2495.58180746645,3005.48213606881,12111.8107961738,0.625673517583346,0.613123865590141,0.484377386673215,0.700962291395927,1.2689788689025,2.84536901068289,6.09888111807946,10.3878824033026,18.2419457878417,33.0375818974972,62.3775091942679,109.381696964399,171.699312105026,221.50241901118,290.945262417104,1742.99863299125,854.710023162944
1,6,397158.811582225,435280.162166134,471642.366659237,541511.652420031,524205.097302887,580645.327551213,607367.406015382,489186.183275155,448543.361649002,411985.027589383,407125.994199746,357031.763714724,270190.736484799,190517.172796642,134512.721300708,153794.863028319,303874.374390672,312972.801281557,330983.424793995,333002.02844343,328288.903391564,369030.403423465,394099.051554929,348178.282743405,322877.277732877,308622.014608266,314164.507469084,290098.391123686,235923.590891469,174109.40772151,126278.387486222,147970.650346156,2987.97561827884,472.111598839894,405.093979491915,684.523005968393,907.596065287911,1046.65626837145,1161.4634632192,1079.05545509337,1062.79447170157,1212.53572898045,1450.41773927399,1788.43806613672,2068.73812268666,2377.02904704919,2795.49509263974,11343.9253912283,0.667862810125635,0.655590467443455,0.540978796923743,0.836298232515728,1.50971964594525,3.35021246358763,7.14080694307622,11.635664627464,20.6302821969275,37.1991079329517,69.883875607869,120.256087003862,183.718344499431,228.842468510416,295.435690030741,1804.55224550729,770.831589631769
1,7,390922.669113615,425150.975712223,454844.781868087,512698.935554384,492177.070011963,540939.994002545,564656.916798355,423093.890154378,389252.130478701,355772.628009107,350596.178662273,305436.943559313,232143.20754306,159302.427548261,109776.476620034,126970.140955774,306289.947022019,314943.778405924,331403.531763772,332683.398740492,327831.072786264,368104.134278892,392870.907122656,332207.361109646,310050.193692369,292580.453091764,295467.015741218,266956.323266646,212479.217629082,150468.374201812,105607.082738265,123975.81424442,2373.40648807036,373.311566921566,311.452516842861,501.949475183705,660.419548860763,761.845854656889,847.271519868593,754.219556195785,746.38340019982,842.777048650485,1003.5524830767,1222.62389604914,1409.10321686601,1568.44725499227,1790.44480482503,7305.11410232901,0.839918277722981,0.821180891843878,0.658929533428006,0.971363766668859,1.74033674845334,3.86367570918681,8.25455633675884,12.8788782562312,22.938921152966,40.9214361727649,76.4976352372697,130.002198310319,197.880369601728,238.503237034361,298.937063018157,1840.33046081448,538.55628658594
1,8,343224.235716569,381941.570878895,415037.568315042,487872.052677845,473955.811281158,528699.197381565,553678.452163687,463375.54573475,424950.805587542,390048.651212833,386075.452017479,336828.031984424,249183.77226409,175383.541603625,123735.507411794,138066.699222258,278776.885553808,296337.698515566,316151.295007621,330755.119833989,324759.459774854,365279.592681239,389384.037213549,345304.198383091,319637.863942498,304343.823057659,309515.646184982,283048.475055969,223393.844598495,163235.596715207,117697.856311352,134009.369370464,2437.20606407405,396.291418774436,336.388005713519,571.811868508172,758.202100004327,880.127677392913,977.69218891407,925.647702499926,909.353963161735,1033.3814924795,1237.11000364475,1517.41608746398,1719.38832824063,1970.36778114522,2308.41354990259,9129.67095564336,0.812736251413052,0.821270188586876,0.670307860027867,1.04137198596466,1.88072818841584,4.20257004321729,8.96989308425406,14.8991888458148,26.3569095135099,47.3485159357466,89.1545714104219,152.679966259034,228.54701040877,287.342767928523,370.192425441211,2196.94793314235,800.568577142974
1,9,364079.158441177,398798.34414635,427504.984270445,489613.850274808,477717.624972228,533992.377427578,560538.983750031,474275.749544701,434406.200612851,400268.628151794,396780.412035749,349410.897406094,263536.579483753,188789.910904449,134726.059048817,151275.582719122,292025.571048571,305236.93631914,322124.262989245,331224.301806397,326406.494958543,367255.888980431,391841.792624311,349656.983686729,323569.918234862,309598.705622209,315626.841171652,291661.950463855,235225.445949885,175194.115820215,127920.184749943,146726.425074625,3037.58988642149,489.991705038367,407.17697457715,662.313760376456,883.615785353152,1028.01253488393,1144.97293895899,1095.28493262036,1073.77915774361,1225.65820085505,1469.91670801614,1822.95866218751,2113.65358110222,2469.76548886945,2928.3014691576,11668.9068870642,0.995871810366645,0.998540872876445,0.797885762769007,1.18617526518856,2.15539557776236,4.82667979572389,10.3278167488602,17.3300713786861,30.585465403543,55.1598472035159,103.869962515236,179.605109479735,274.260775283361,343.767333285313,444.285030415687,2624.07531867208,989.34960430776
1,10,312435.342837822,354066.073435663,389857.525699323,472409.298221648,459793.229451876,514665.004969477,538708.345342234,459015.861241882,421412.753704086,386213.239427312,382351.156089509,331759.484585386,241013.444253264,168638.483634056,118712.538941009,130661.732603318,259634.097053354,282244.420910887,304810.604086176,328994.847730491,321784.52918772,362225.494287765,385768.28876386,343812.932654515,318457.986385185,302591.42132072,307540.047139365,279773.401020386,216934.476027168,157373.263168774,113104.279302227,126968.897970452,2946.16887539048,489.499560807734,423.053501553468,748.997026414444,994.101537874838,1157.61722604736,1285.06805918276,1229.75217080692,1210.64263273992,1374.43149911121,1645.19771379669,2004.47550053544,2224.06941572164,2524.47836213886,2948.54014110352,11480.8522113587,0.674882147147954,0.69680934237623,0.579081245390367,0.937034185992484,1.69370152860606,3.79629140136776,8.09619277796434,13.5859276536392,24.0728524379508,43.166819490553,81.0044115498535,137.562224433449,200.926541395315,243.322292600227,310.212187072617,1795.34772295124,986.670646194436
